ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu
POOL-00027695,"InChI=1S/C14H10N2O6/c17-14(11-3-7-13(8-4-11)16(20)21)22-9-10-1-5-12(6-2-10)15(18)19/h1-8H,9H2",O=C(OCc1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1,709.1178506161107,False,['3481-11-6'],1.8197069142
POOL-00033404,"InChI=1S/C15H14N2O6/c18-16(19)12-4-1-6-14(10-12)22-8-3-9-23-15-7-2-5-13(11-15)17(20)21/h1-2,4-7,10-11H,3,8-9H2",O=[N+]([O-])c1cccc(OCCCOc2cccc([N+](=O)[O-])c2)c1,644.371386460241,False,['14467-65-3'],1.8002129392
POOL-00030011,"InChI=1S/C14H10N2O6/c17-14(22-9-10-4-2-1-3-5-10)11-6-12(15(18)19)8-13(7-11)16(20)21/h1-8H,9H2",O=C(OCc1ccccc1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,697.1178506161107,False,['10478-07-6'],1.8448827807
POOL-00033768,"InChI=1S/C16H14N2O5/c1-23-15-5-3-2-4-13(15)17-16(20)10-14(19)11-6-8-12(9-7-11)18(21)22/h2-9H,10H2,1H3,(H,17,20)",COc1ccccc1N=C(O)CC(=O)c1ccc([N+](=O)[O-])cc1,753.3208414154391,False,['35843-38-0'],1.8146419632
POOL-00028036,"InChI=1S/C16H14N2O5/c1-11(19)12-2-4-13(5-3-12)17-16(20)10-23-15-8-6-14(7-9-15)18(21)22/h2-9H,10H2,1H3,(H,17,20)",CC(=O)c1ccc(NC(=O)COc2ccc([N+](=O)[O-])cc2)cc1,723.1407441636328,False,['303992-56-5'],1.8063036232
POOL-00042030,"InChI=1S/C16H12N2O4/c1-21-15-7-11(3-5-13(15)17-9-19)12-4-6-14(18-10-20)16(8-12)22-2/h3-8H,1-2H3",COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O,721.2279699067143,False,['91-93-0'],1.8282046122
POOL-00036672,"InChI=1S/C16H14N2O5/c1-23-15-8-3-2-7-13(15)17-16(20)10-14(19)11-5-4-6-12(9-11)18(21)22/h2-9H,10H2,1H3,(H,17,20)",COc1ccccc1N=C(O)CC(=O)c1cccc([N+](=O)[O-])c1,770.5708414154388,False,['63134-28-1'],1.8162191433
POOL-00040805,InChI=1S/C13H8N2O7/c16-13(21-11-5-1-9(2-6-11)14(17)18)22-12-7-3-10(4-8-12)15(19)20/h1-8H,O=C(Oc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,648.6733937390067,False,['5070-13-3'],1.8231790386
POOL-00036064,InChI=1S/C13H8N2O5/c16-13(9-3-1-5-11(7-9)14(17)18)10-4-2-6-12(8-10)15(19)20/h1-8H,O=C(c1cccc([N+](=O)[O-])c1)c1cccc([N+](=O)[O-])c1,651.9126329433612,False,['21222-05-9'],1.8485523783
POOL-00033723,InChI=1S/C14H8N2O7/c17-13(9-1-5-11(6-2-9)15(19)20)23-14(18)10-3-7-12(8-4-10)16(21)22/h1-8H,O=C(OC(=O)c1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1,714.2780106908524,False,['902-47-6'],1.8172462813
POOL-00027831,"InChI=1S/C15H13NO5/c1-20-15-8-12(9-17)4-7-14(15)21-10-11-2-5-13(6-3-11)16(18)19/h2-9H,10H2,1H3",COc1cc(C=O)ccc1OCc1ccc([N+](=O)[O-])cc1,651.6135948580428,False,['81307-09-7'],1.8378424285
POOL-00033403,"InChI=1S/C14H12N2O6/c17-15(18)11-1-5-13(6-2-11)21-9-10-22-14-7-3-12(4-8-14)16(19)20/h1-8H,9-10H2",O=[N+]([O-])c1ccc(OCCOc2ccc([N+](=O)[O-])cc2)cc1,594.5382092296909,False,['14467-69-7'],1.8237821474
POOL-00023149,"InChI=1S/C13H8N2O7/c16-13(17)11-5-4-9(15(20)21)7-12(11)22-10-3-1-2-8(6-10)14(18)19/h1-7H,(H,16,17)",O=C(O)c1ccc([N+](=O)[O-])cc1Oc1cccc([N+](=O)[O-])c1,772.7339642181839,False,['99504-27-5'],1.8520496624
POOL-00031761,"InChI=1S/C16H15NO5/c1-11-3-5-16(14(7-11)17(19)20)22-10-13-8-12(9-18)4-6-15(13)21-2/h3-9H,10H2,1-2H3",COc1ccc(C=O)cc1COc1ccc(C)cc1[N+](=O)[O-],711.677507987142,False,['329222-84-6'],1.8394500147
POOL-00017926,InChI=1S/C15H10N2O5/c18-15(12-5-7-13(8-6-12)16(19)20)9-4-11-2-1-3-14(10-11)17(21)22/h1-10H,O=C(C=Cc1cccc([N+](=O)[O-])c1)c1ccc([N+](=O)[O-])cc1,765.7572038222726,False,['134271-76-4'],1.8196277524
POOL-00036084,"InChI=1S/C14H10F2N2O4/c15-11-5-3-9(13(7-11)17(19)20)1-2-10-4-6-12(16)8-14(10)18(21)22/h3-8H,1-2H2",O=[N+]([O-])c1cc(F)ccc1CCc1ccc(F)cc1[N+](=O)[O-],686.1178506161108,False,['50618-92-3'],1.8429865353
POOL-00040039,"InChI=1S/C12H8N2O6S/c15-13(16)9-1-5-11(6-2-9)21(19,20)12-7-3-10(4-8-12)14(17)18/h1-8H",O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,733.1462252527615,False,['1156-50-9'],1.8455831151
